id,name,sku,category_id,brand_id,barcode,details,product_image,warranty,alert_qty,price,sell_price,warranty_policy,created_at,updated_at
1,Skmei Military Sport Watch,SK28K,10,52,NULL,NULL,1557734203.jpg,1 Year,1,1200,1650,NULL,13-05-2019 01:56,11-08-2021 12:48
2,SKMEI Alarm Chronograph Military watch,SK29K,10,52,NULL,NULL,1557734323.jpg,1,2,1700,2100,Only machine warranty,13-05-2019 01:58,22-07-2022 06:11
3,SKMEI 1653 Digital Waterproof Watch for Men,SK53A,10,52,NULL,Only Machine Warranty Must Keep this invoice For warranty Claim.,1612593188.jpg,1 Year,1,950,1800,NULL,13-05-2019 01:59,06-02-2021 06:33
4,Sit Right Back Support (Premium Black),LB1,11,58,NULL,N/A,1557734853.jpg,N/A,NULL,450,800,NULL,13-05-2019 02:07,29-09-2020 10:17
5,Sit Right Back Support (Premium Brown),LR1,12,58,NULL,N/A,NULL,N/A,2,450,650,NULL,13-05-2019 02:08,13-05-2019 02:08
6,ZR1 Around The World Watch,ZR1,10,58,NULL,N/A,1557735039.png,1 Year,2,250,350,NULL,13-05-2019 02:10,13-05-2019 02:10
7,SEWOR Mechanical Watch,SE1,10,50,NULL,N/A,1557735178.jpg,1 Year,2,1350,1400,NULL,13-05-2019 02:12,04-03-2020 13:37
8,Megir Business Dress Chronograph,MG1,10,37,NULL,N/A,1557735593.jpg,1 Year,2,1800,2200,NULL,13-05-2019 02:19,04-03-2020 08:57
9,Megir Business Chronograph,MG2,10,37,NULL,N/A,1557735950.jpg,1 Year,2,1800,2200,NULL,13-05-2019 02:25,04-03-2020 08:59
10,SKMEI 1588 Digital Touch Watch for Women,SK77G,10,52,NULL,Only Machine Warranty Must Keep this invoice For warranty Claim.,1612601682.jpg,1 Year,1,680,1250,NULL,13-05-2019 02:26,06-02-2021 08:54
11,Leather Business Bag for Men,BA14B,1,14,NULL,NULL,1557736031.jpg,NULL,2,2500,3000,NULL,13-05-2019 02:27,13-05-2019 02:27
12,SEWOR Tourbillon Automatic,SF1,10,50,NULL,N/A,1557736089.jpg,1 Year,NULL,1800,2200,NULL,13-05-2019 02:28,13-05-2019 02:28
13,SEWOR Tourbillon Mechanical Watch,SF2,10,50,NULL,N/A,1557736297.jpg,1 Year,NULL,1800,2500,NULL,13-05-2019 02:31,13-05-2019 02:31
14,OCHSTIN Chronograph Watch,WD1,10,43,NULL,N/A,1557737184.jpg,1 Year,2,1800,2350,NULL,13-05-2019 02:46,13-05-2019 02:46
15,OCHSTIN Chronograph Watch,WD2,10,43,NULL,N/A,1557737334.jpg,1 Year,NULL,1800,2350,NULL,13-05-2019 02:48,13-05-2019 02:48
16,OCHSTIN Chronograph,WG1,10,43,NULL,N/A,1557737444.jpg,1 Year,2,1800,2350,NULL,13-05-2019 02:50,13-05-2019 02:50
17,Break Black Executive,BR1,9,22,NULL,N/A,1557737873.jpg,1 Year,2,1500,2150,NULL,13-05-2019 02:57,13-05-2019 02:57
18,BREAK Wrist Watch,BR2,10,22,NULL,N/A,1557738004.jpg,1 Year,2,1800,2200,NULL,13-05-2019 03:00,13-05-2019 03:00
