id,name,sku,category_id,brand_id,barcode,details,product_image,warranty,alert_qty,price,sell_price,warranty_policy,created_at,updated_at
1526,bekeleBOLO Genuine Leather Belt,B517,2,93,NULL,Only Leather Warranty,1625552518.jpeg,1 Year,2,400,850,NULL,06-07-2021 06:21,06-07-2021 06:21
1527,ORAS Genuine Leather Zipper Wallet,RA76K,6,61,NULL,Only Leather Warranty,1625829374.jpg,1 Year,2,680,1350,NULL,09-07-2021 11:16,09-07-2021 11:16
1528,ORAS Genuine Leather Office Desk Storage,RA77C,30,61,NULL,NULL,1625830750.jpg,1 Year,2,140,450,NULL,09-07-2021 11:39,09-07-2021 11:39
1529,bekeleBOLO Genuine Leather Automatic Buckle Belt,B519,2,93,NULL,Only Leather Warranty,NULL,1 Year,1,500,900,NULL,09-07-2021 11:42,09-07-2021 11:42
1530,ORAS Genuine Leather Multi-function Wallet,RA78K,6,61,NULL,Only Leather Warranty,1625895866.jpg,1 Year,1,770,1600,NULL,10-07-2021 05:44,10-07-2021 05:44
1531,Jeep Genuine Leather Wallet for Men,RA79N,6,14,NULL,Only Leather Warranty,1625896083.jpg,1 Year,1,470,1250,NULL,10-07-2021 05:48,10-07-2021 12:07
1532,ORAS Genuine Leather Pencil Pouch,RA80C,30,61,NULL,Only Leather Warranty,1626351245.jpg,1 Year,1,160,450,NULL,15-07-2021 12:14,15-07-2021 12:14
1533,ORAS Genuine Leather Wallet,RA66K,6,61,NULL,Only Leather warranty,1626415564.jpg,1 Year,2,240,750,NULL,16-07-2021 06:02,16-07-2021 06:06
1534,ORAS Genuine Leather Wallet for Men,RA60N,6,61,NULL,Only Leather warranty,1626520065.jpg,1 Year,2,470,1250,NULL,17-07-2021 11:07,17-07-2021 11:07
1535,ORAS Genuine Leather Mobile Case Belt Waist Bag,RA81C,27,61,NULL,Only Leather warranty,1626589840.jpg,1 Year,2,200,750,NULL,18-07-2021 06:30,18-07-2021 06:30
1536,ORAS Genuine Leather Multi-function Wallet,RA82K,6,61,NULL,Only Leather warranty,1626590051.jpg,1 Year,2,500,1200,NULL,18-07-2021 06:34,18-07-2021 06:34
1537,ORAS Genuine Leather Wallet for Men,RA17D,2,61,NULL,Only Leather warranty,1626591852.jpg,1 Year,2,280,650,NULL,18-07-2021 07:04,18-07-2021 07:04
1538,ORAS Genuine Leather Belt for Men,B605,2,61,NULL,Only leather warranty,1626592480.jpg,1 Year,2,275,750,NULL,18-07-2021 07:14,18-07-2021 07:14
1539,Leather Bracelet Watch,C181,10,58,NULL,Only Machine Warranty,1627103910.jpg,1 Year,2,300,999,NULL,24-07-2021 05:18,24-07-2021 05:18
1540,Leather Bracelet Watch,C182,10,58,NULL,Only machine warranty,1627104063.jpg,1 Year,2,400,999,NULL,24-07-2021 05:21,24-07-2021 05:21
1541,OUTDOOR Multifunction Tactical Military Belt for Men,B174,2,84,NULL,NULL,1627906203.jpg,N/A,2,200,600,NULL,02-08-2021 12:10,02-08-2021 12:10
1542,OUTDOOR Multifunction Tactical Military Belt for Men,B176,2,84,NULL,NULL,1627906443.jpg,N/A,2,200,600,NULL,02-08-2021 12:14,02-08-2021 12:14
1543,OUTDOOR Multifunction Tactical Military Belt for Men,B175,2,84,NULL,NULL,1627906855.jpg,N/A,1,200,600,NULL,02-08-2021 12:20,02-08-2021 12:20
1544,OUTDOOR Multifunction Tactical Military Belt for Men,B177,2,84,NULL,NULL,1627979493.jpg,n/a,1,200,600,NULL,03-08-2021 08:31,03-08-2021 08:31
1545,OUTDOOR Multifunction Tactical Military Belt for Men,B178,2,84,NULL,NULL,1627979603.jpg,n/a,1,200,600,NULL,03-08-2021 08:33,03-08-2021 08:33
1546,Dandali Tactical Outdoor Nylon Belt,B179,2,84,NULL,NULL,1627989027.jpg,n/a,2,235,700,NULL,03-08-2021 11:10,03-08-2021 11:10
1547,Dandali Tactical Outdoor Nylon Belt,B181,2,84,NULL,NULL,1627989094.jpg,n/a,2,235,700,NULL,03-08-2021 11:11,03-08-2021 11:11
1548,Dandali Tactical Outdoor Nylon Belt,B182,2,84,NULL,NULL,1627989224.jpg,n/a,2,235,700,NULL,03-08-2021 11:13,03-08-2021 11:13
1549,Dandali Tactical Outdoor Nylon Belt,B183,2,84,NULL,NULL,1627989305.jpg,n/a,2,235,700,NULL,03-08-2021 11:15,03-08-2021 11:15
1550,Dandali Tactical Outdoor Nylon Belt,B184,2,84,NULL,NULL,1627989395.jpg,n/a,2,235,700,NULL,03-08-2021 11:16,03-08-2021 11:16
1551,Dandali Fashion Automatic Buckle Belt,B185,2,84,NULL,NULL,1628051648.jpg,N/A,1,220,700,NULL,04-08-2021 04:34,04-08-2021 04:34
1552,Dandali Fashion Automatic Buckle Belt,B186,2,84,NULL,NULL,1628051738.jpg,N/A,1,220,700,NULL,04-08-2021 04:35,04-08-2021 04:35
